---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:48:46 (uptime: 0d, 00h 00m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
flow.wrk.spare_sync                                          | Total                     | 16
decoder.event.ipv4.opt_pad_required                          | Total                     | 2
tcp.sessions                                                 | Total                     | 16
tcp.ssn_from_pool                                            | Total                     | 16
tcp.segment_from_pool                                        | Total                     | 95
detect.alert                                                 | Total                     | 573
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
app_layer.flow.tls                                           | Total                     | 9
app_layer.flow.quic                                          | Total                     | 2
app_layer.tx.quic                                            | Total                     | 11
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 76
app_layer.flow.failed_udp                                    | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 9
app_layer.tx.dns_udp                                         | Total                     | 22
app_layer.flow.sip_udp                                       | Total                     | 14
app_layer.error.sip_udp.parser                               | Total                     | 170
flow.mgr.full_hash_pass                                      | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9600
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 92
flow.mgr.flows_notimeout                                     | Total                     | 92
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 9961504
tcp.reassembly_memuse                                        | Total                     | 1939456
http.memuse                                                  | Total                     | 2037
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7151104
---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:49:34 (uptime: 0d, 00h 00m 57s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1512
decoder.bytes                                                | Total                     | 286475
decoder.ipv4                                                 | Total                     | 1181
decoder.ipv6                                                 | Total                     | 331
decoder.tcp                                                  | Total                     | 1018
tcp.syn                                                      | Total                     | 26
tcp.synack                                                   | Total                     | 16
tcp.rst                                                      | Total                     | 11
decoder.udp                                                  | Total                     | 478
decoder.icmpv6                                               | Total                     | 12
decoder.avg_pkt_size                                         | Total                     | 189
decoder.max_pkt_size                                         | Total                     | 1480
tcp.active_sessions                                          | Total                     | 19
flow.total                                                   | Total                     | 107
flow.active                                                  | Total                     | 107
flow.tcp                                                     | Total                     | 70
flow.udp                                                     | Total                     | 33
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
